나이,계약유형,이번달_주당방문횟수,총_이용개월수,상대_방문공백,일평균_운동시간,주_이용_시간대_혼잡도,PT_가입여부,그룹수업_참여,최근한달_부상경험,서비스불만_환경불편,서비스불만_비매너회원,기구불만_기구부족,기구불만_기구상태불만,직원불만_불친절,직원불만_전문성부족,가격불만,이탈
42,6,0,14,2.38,18,여유,0,0,0,2,4,3,3,5,5,3,1
44,3,1,17,1.34,47,여유,0,0,0,3,4,3,4,4,5,3,1
30,6,1,11,2.37,52,여유,0,0,0,4,2,3,3,4,4,4,1
49,1,2,12,1.21,32,보통,0,0,0,5,3,4,2,4,4,4,1
50,1,3,8,0.49,99,보통,0,0,0,4,4,4,3,4,4,3,0
45,3,1,6,1.05,32,보통,0,0,0,4,4,3,3,4,2,2,0
22,6,1,7,0.93,42,혼잡,0,0,0,4,3,4,4,1,3,3,0
29,3,0,6,1.35,55,보통,0,0,0,4,4,5,5,5,5,2,0
28,12,1,4,0.73,72,보통,0,0,0,4,5,5,5,4,3,5,0
26,1,1,3,1.06,90,보통,0,0,0,3,3,5,4,5,4,2,0
25,12,1,33,0.83,75,여유,0,0,0,3,2,3,3,2,1,3,0
65,6,2,11,0.99,108,보통,0,1,0,5,4,2,2,5,5,3,0
32,12,4,3,0.21,101,여유,0,0,0,4,4,3,2,4,3,2,0
26,12,2,15,0.53,58,여유,0,1,0,4,3,2,3,4,4,2,1
39,6,2,39,2.04,41,보통,0,0,0,4,3,2,1,4,2,3,0
26,6,2,1,0.44,134,여유,0,1,1,1,2,3,4,2,3,4,0
45,6,2,7,0.54,52,보통,0,0,0,4,4,3,4,4,3,4,0
36,12,6,36,0.33,61,여유,1,1,0,1,4,3,1,3,3,3,0
33,1,2,6,1.05,110,여유,0,0,0,2,1,1,4,1,3,2,0
36,6,0,5,4.35,72,매우혼잡,1,0,1,5,5,4,4,3,4,2,1
51,6,2,25,1.38,117,혼잡,0,0,0,3,5,4,3,3,4,3,1
28,12,2,22,1.05,19,보통,0,1,1,1,3,4,1,4,4,3,1
29,1,3,22,0.69,78,보통,0,0,0,4,4,2,3,5,4,2,0
